provider,model_id,name,context_length,prompt_cost,completion_cost,created,description
OpenRouter,amazon/nova-2-lite-v1:free,Amazon: Nova 2 Lite (free),1000000,0,0,1764696672,"Nova 2 Lite is a fast, cost-effective reasoning model for everyday workloads that can process text, "
OpenRouter,amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,1000000,0.0000003,0.0000025,1764696672,"Nova 2 Lite is a fast, cost-effective reasoning model for everyday workloads that can process text, "
OpenRouter,mistralai/mistral-large-2512,Mistral: Mistral Large 3 2512,262144,0.0000005,0.0000015,1764624472,"Mistral Large 3 2512 is Mistral’s most capable model to date, featuring a sparse mixture-of-experts "
OpenRouter,arcee-ai/trinity-mini:free,Arcee AI: Trinity Mini (free),131072,0,0,1764601720,Trinity Mini is a 26B-parameter (3B active) sparse mixture-of-experts language model featuring 128 e
OpenRouter,arcee-ai/trinity-mini,Arcee AI: Trinity Mini,131072,0.000000045,0.00000015,1764601720,Trinity Mini is a 26B-parameter (3B active) sparse mixture-of-experts language model featuring 128 e
OpenRouter,deepseek/deepseek-v3.2-speciale,DeepSeek: DeepSeek V3.2 Speciale,163840,0.00000027,0.00000041,1764594837,DeepSeek-V3.2-Speciale is a high-compute variant of DeepSeek-V3.2 optimized for maximum reasoning an
OpenRouter,deepseek/deepseek-v3.2,DeepSeek: DeepSeek V3.2,163840,0.00000027,0.0000004,1764594642,DeepSeek-V3.2 is a large language model designed to harmonize high computational efficiency with str
OpenRouter,prime-intellect/intellect-3,Prime Intellect: INTELLECT-3,131072,0.0000002,0.0000011,1764212534,INTELLECT-3 is a 106B-parameter Mixture-of-Experts model (12B active) post-trained from GLM-4.5-Air-
OpenRouter,tngtech/tng-r1t-chimera:free,TNG: R1T Chimera (free),163840,0,0,1764184161,TNG-R1T-Chimera is an experimental LLM with a faible for creative storytelling and character interac
OpenRouter,tngtech/tng-r1t-chimera,TNG: R1T Chimera,163840,0.0000003,0.0000012,1764184161,TNG-R1T-Chimera is an experimental LLM with a faible for creative storytelling and character interac
OpenRouter,anthropic/claude-opus-4.5,Anthropic: Claude Opus 4.5,200000,0.000005,0.000025,1764010580,"Claude Opus 4.5 is Anthropic’s frontier reasoning model optimized for complex software engineering, "
OpenRouter,allenai/olmo-3-32b-think:free,AllenAI: Olmo 3 32B Think (free),65536,0,0,1763758276,"Olmo 3 32B Think is a large-scale, 32-billion-parameter model purpose-built for deep reasoning, comp"
OpenRouter,allenai/olmo-3-7b-instruct,AllenAI: Olmo 3 7B Instruct,65536,0.0000001,0.0000002,1763758273,"Olmo 3 7B Instruct is a supervised instruction-fine-tuned variant of the Olmo 3 7B base model, optim"
