cost_tier,name,model_id,context_length,prompt_cost_per_1M,completion_cost_per_1M,provider,description
Free,Amazon: Nova 2 Lite (free),amazon/nova-2-lite-v1:free,1000000,$0.0000,$0.0000,OpenRouter,"Nova 2 Lite is a fast, cost-effective reasoning model for everyday workloads tha"
Free,Google: Gemini 2.0 Flash Experimental (free),google/gemini-2.0-flash-exp:free,1048576,$0.0000,$0.0000,OpenRouter,Gemini Flash 2.0 offers a significantly faster time to first token (TTFT) compar
Free,Meta: Llama 3.2 3B Instruct (free),meta-llama/llama-3.2-3b-instruct:free,131072,$0.0000,$0.0000,OpenRouter,"Llama 3.2 3B is a 3-billion-parameter multilingual large language model, optimiz"
Free,Meta: Llama 3.3 70B Instruct (free),meta-llama/llama-3.3-70b-instruct:free,131072,$0.0000,$0.0000,OpenRouter,The Meta Llama 3.3 multilingual large language model (LLM) is a pretrained and i
Free,Mistral: Mistral 7B Instruct (free),mistralai/mistral-7b-instruct:free,32768,$0.0000,$0.0000,OpenRouter,"A high-performing, industry-standard 7.3B parameter model, with optimizations fo"
Free,Mistral: Mistral Small 3.1 24B (free),mistralai/mistral-small-3.1-24b-instruct:free,128000,$0.0000,$0.0000,OpenRouter,"Mistral Small 3.1 24B Instruct is an upgraded variant of Mistral Small 3 (2501),"
Free,Nous: Hermes 3 405B Instruct (free),nousresearch/hermes-3-llama-3.1-405b:free,131072,$0.0000,$0.0000,OpenRouter,"Hermes 3 is a generalist language model with many improvements over Hermes 2, in"
Free,Qwen: Qwen3 235B A22B (free),qwen/qwen3-235b-a22b:free,131072,$0.0000,$0.0000,OpenRouter,Qwen3-235B-A22B is a 235B parameter mixture-of-experts (MoE) model developed by 
Free,Qwen: Qwen3 4B (free),qwen/qwen3-4b:free,40960,$0.0000,$0.0000,OpenRouter,"Qwen3-4B is a 4 billion parameter dense language model from the Qwen3 series, de"
Free,Qwen: Qwen3 Coder 480B A35B (free),qwen/qwen3-coder:free,262000,$0.0000,$0.0000,OpenRouter,Qwen3-Coder-480B-A35B-Instruct is a Mixture-of-Experts (MoE) code generation mod
