id,filename,relative_path,category,status,model_used,prompt_tokens,completion_tokens,total_cost_usd,date_processed,page_count,output_md_path,notes
1,Analysis_of_Consistency_of_Large_Language_Models_for_Low-Resource_Languages_like_Turkish_with_Min-P_and_Top-P_Sampling_Parameters.pdf,Analysis_of_Consistency_of_Large_Language_Models_for_Low-Resource_Languages_like_Turkish_with_Min-P_and_Top-P_Sampling_Parameters.pdf,root,completed,Google Gemini 2.5 Flash,8144,7857,0.022086,2025-12-04T11:38:34.192453,4,md/Analysis_of_Consistency_of_Large_Language_Models_for_Low-Resource_Languages_like_Turkish_with_Min-P_and_Top-P_Sampling_Parameters.md,Successfully converted
2,Ashktorab et al..pdf,Ashktorab et al..pdf,root,completed,Google Gemini 2.0 Flash,20059,8192,0.005283,2025-12-04T19:46:48.556078,20,md/Ashktorab_et_al.md,Successfully converted
3,Chakrabarty et al..pdf,Chakrabarty et al..pdf,root,completed,Google Gemini 2.5 Flash,18054,16656,0.047056,2025-12-04T11:48:12.169971,16,md/Chakrabarty_et_al.md,Successfully converted
4,Clark et al..pdf,Clark et al..pdf,root,completed,Google Gemini 2.0 Flash,13906,8192,0.004667,2025-12-04T19:47:47.521519,12,md/Clark_et_al.md,Successfully converted
5,Coenen et al..pdf,Coenen et al..pdf,root,completed,Google Gemini 2.0 Flash,17821,8192,0.005059,2025-12-04T19:48:47.774157,12,md/Coenen_et_al.md,Successfully converted
6,Crosthwaite and Baisa.pdf,Crosthwaite and Baisa.pdf,root,completed,Google Gemini 2.0 Flash,7465,6527,0.003357,2025-12-04T19:49:34.245590,4,md/Crosthwaite_and_Baisa.md,Successfully converted
7,Fithriani.pdf,Fithriani.pdf,root,completed,Google Gemini 2.0 Flash,9663,8192,0.004243,2025-12-04T19:50:30.741758,17,md/Fithriani.md,Successfully converted
8,Franceschelli and Musolesi.pdf,Franceschelli and Musolesi.pdf,root,completed,Google Gemini 2.0 Flash,18401,8192,0.005117,2025-12-04T19:51:29.812968,11,md/Franceschelli_and_Musolesi.md,Successfully converted
9,Hanauer.pdf,Hanauer.pdf,root,completed,Google Gemini 2.0 Flash,100087,8192,0.013286,2025-12-04T19:52:28.411695,180,md/Hanauer.md,Successfully converted
10,Holtzman et al..pdf,Holtzman et al..pdf,root,completed,Google Gemini 2.0 Flash,14488,8193,0.004726,2025-12-04T19:53:22.988579,16,md/Holtzman_et_al.md,Successfully converted
11,Ippolito et al..pdf,Ippolito et al..pdf,root,completed,Google Gemini 2.0 Flash,18336,4617,0.003680,2025-12-04T19:54:02.229525,18,md/Ippolito_et_al.md,Successfully converted
12,Li Lujun et al..pdf,Li Lujun et al..pdf,root,completed,Google Gemini 2.0 Flash,14460,8192,0.004723,2025-12-04T19:54:55.081694,10,md/Li_Lujun_et_al.md,Successfully converted
13,Li et al..pdf,Li et al..pdf,root,completed,Google Gemini 2.0 Flash,22379,8192,0.005515,2025-12-04T19:55:48.992129,31,md/Li_et_al.md,Successfully converted
14,Lyster Ranta et al..pdf,Lyster Ranta et al..pdf,root,completed,Google Gemini 2.0 Flash,389373,1393,0.039495,2025-12-04T19:56:22.830263,30,md/Lyster_Ranta_et_al.md,Successfully converted
15,Marije et al..pdf,Marije et al..pdf,root,completed,Google Gemini 2.0 Flash,22087,8192,0.005485,2025-12-04T19:57:15.561537,15,md/Marije_et_al.md,Successfully converted
16,McGregor et al..pdf,McGregor et al..pdf,root,completed,Google Gemini 2.0 Flash,10051,8192,0.004282,2025-12-04T19:58:10.368717,10,md/McGregor_et_al.md,Successfully converted
17,Nguyen et al..pdf,Nguyen et al..pdf,root,completed,Google Gemini 2.0 Flash,15687,8192,0.004845,2025-12-04T19:59:00.382245,19,md/Nguyen_et_al.md,Successfully converted
18,Orwig et al..pdf,Orwig et al..pdf,root,completed,Google Gemini 2.0 Flash,13270,8192,0.004604,2025-12-04T19:59:52.317872,14,md/Orwig_et_al.md,Successfully converted
19,Park.pdf,Park.pdf,root,completed,Google Gemini 2.5 Flash,4198,3289,0.009482,2025-12-04T11:32:19.622306,4,md/Park.md,Successfully converted
20,Peeperkorn et al..pdf,Peeperkorn et al..pdf,root,completed,Google Gemini 2.0 Flash,15661,8191,0.004843,2025-12-04T20:00:45.455477,10,md/Peeperkorn_et_al.md,Successfully converted
21,Qian et al..pdf,Qian et al..pdf,root,completed,Google Gemini 2.0 Flash,26981,8192,0.005975,2025-12-04T20:01:44.534978,26,md/Qian_et_al.md,Successfully converted
22,Ravfogel et al..pdf,Ravfogel et al..pdf,root,completed,Google Gemini 2.0 Flash,6454,6484,0.003239,2025-12-04T20:02:28.294437,6,md/Ravfogel_et_al.md,Successfully converted
23,Ripamonti.pdf,Ripamonti.pdf,root,completed,Google Gemini 2.0 Flash,3857,3422,0.001755,2025-12-04T20:02:53.959194,4,md/Ripamonti.md,Successfully converted
24,Shaumiwaty et al..pdf,Shaumiwaty et al..pdf,root,completed,Google Gemini 2.0 Flash,7974,7485,0.003791,2025-12-04T20:03:46.693870,7,md/Shaumiwaty_et_al.md,Successfully converted
25,The Reading Teacher - 2024 - Kerbs - Playing with Words  Scaffolding Writing through Poetry.pdf,The Reading Teacher - 2024 - Kerbs - Playing with Words  Scaffolding Writing through Poetry.pdf,root,completed,Google Gemini 2.0 Flash,12191,8192,0.004496,2025-12-04T20:04:39.756087,10,md/Kerbs_2024_Playing_with_Words_Scaffolding_Writing_through_Poetry.md,Successfully converted
26,Wang and Wang.pdf,Wang and Wang.pdf,root,completed,Google Gemini 2.0 Flash,21157,8192,0.005392,2025-12-04T20:05:38.827557,17,md/Wang_and_Wang.md,Successfully converted
27,Wang.pdf,Wang.pdf,root,completed,Google Gemini 2.0 Flash,19536,8192,0.005230,2025-12-04T20:06:36.767596,22,md/Wang.md,Successfully converted
28,Zhao et al..pdf,Zhao et al..pdf,root,completed,Google Gemini 2.0 Flash,27623,8192,0.006039,2025-12-04T20:07:34.193771,20,md/Zhao_et_al.md,Successfully converted
29,exploring-an-ai-supported-approach-to-creative-writing-in-secondary-school-english-classes.pdf,exploring-an-ai-supported-approach-to-creative-writing-in-secondary-school-english-classes.pdf,root,completed,Google Gemini 2.0 Flash,2865,2178,0.001158,2025-12-04T20:07:53.586100,3,md/exploring_an_ai_supported_approach_to_creative_writing_in_secondary_school_english_classes.md,Successfully converted
